date,time,co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi
2024-01-01,00:00:00,433.92,0.0,7.28,75.1,6.14,41.55,47.24,1.38,3.0
2024-01-01,01:00:00,480.65,0.0,11.48,72.96,7.09,36.52,41.85,1.66,3.0
2024-01-01,02:00:00,600.81,0.03,21.42,62.94,8.82,35.1,40.64,2.31,3.0
2024-01-01,03:00:00,694.27,0.75,29.13,53.64,10.97,31.85,37.33,3.01,3.0
2024-01-01,04:00:00,654.22,5.14,20.22,67.95,12.16,27.15,32.22,3.39,3.0
2024-01-01,05:00:00,580.79,4.3,16.11,86.55,13.23,25.09,29.76,3.36,3.0
2024-01-01,06:00:00,547.41,3.1,13.54,110.15,14.66,28.91,33.54,3.26,3.0
2024-01-01,07:00:00,453.95,1.66,8.83,128.75,12.52,30.37,34.3,2.25,3.0
2024-01-01,08:00:00,423.91,1.29,7.54,135.9,11.09,29.76,33.2,1.9,3.0
2024-01-01,09:00:00,407.22,1.19,7.45,137.33,10.13,28.02,31.36,1.96,3.0
2024-01-01,10:00:00,420.57,1.48,9.85,128.75,10.01,25.87,29.22,2.22,3.0
2024-01-01,11:00:00,487.33,2.15,16.28,110.15,10.85,23.93,27.44,2.75,3.0
2024-01-01,12:00:00,574.11,1.72,25.02,87.26,10.73,22.61,26.41,3.26,2.0
2024-01-01,13:00:00,587.46,0.02,26.73,72.24,9.78,22.3,26.61,3.77,2.0
2024-01-01,14:00:00,534.06,0.0,21.25,70.1,8.82,22.24,27.23,4.5,2.0
2024-01-01,15:00:00,487.33,0.0,16.96,69.38,7.87,23.17,28.81,4.88,2.0
2024-01-01,16:00:00,467.3,0.0,13.54,72.24,6.85,32.26,39.54,5.0,3.0
2024-01-01,17:00:00,487.33,0.0,12.68,75.82,6.5,46.56,55.86,5.0,3.0
2024-01-01,18:00:00,507.35,0.0,11.82,78.68,6.14,57.45,68.02,4.37,4.0
2024-01-01,19:00:00,500.68,0.0,10.11,80.82,5.78,63.46,74.33,3.32,4.0
2024-01-01,20:00:00,500.68,0.0,8.4,79.39,5.72,66.78,77.79,2.6,4.0
2024-01-01,21:00:00,500.68,0.0,7.11,77.96,5.6,70.42,81.85,1.85,4.0
2024-01-01,22:00:00,494.0,0.0,6.77,77.25,5.9,76.49,88.52,1.39,5.0
2024-01-01,23:00:00,500.68,0.0,6.85,76.53,6.32,85.31,98.08,1.22,5.0
2024-01-02,00:00:00,514.03,0.0,8.14,75.82,6.74,94.45,107.49,1.17,5.0
2024-01-02,01:00:00,574.11,0.0,12.85,71.53,7.45,104.04,117.68,1.41,5.0
2024-01-02,02:00:00,714.3,0.01,23.99,60.8,9.18,111.69,126.61,1.77,5.0
2024-01-02,03:00:00,814.44,0.12,32.22,52.93,11.44,117.07,132.76,1.76,5.0
2024-01-02,04:00:00,687.6,0.71,23.65,69.38,11.32,106.16,120.37,1.14,5.0
2024-01-02,05:00:00,587.46,0.92,17.48,80.11,11.09,95.43,108.15,1.16,5.0
2024-01-02,06:00:00,547.41,1.1,14.74,85.83,11.44,88.24,99.81,1.33,5.0
